,Disease_name,Drug_name,absorption,solubility,toxicity,Due_to_Deficiency_of
5012,Diabetic Peripheral Neuropathy,mexiletine,High,Water-soluble,Non-toxic,Electrolytes
5013,Dracunculiasis,metronidazole,Moderate,Water-soluble,Mildly toxic,Electrolytes
5014,Dracunculiasis,mebendazole,Moderate,Poorly soluble,Non-toxic,Electrolytes
5015,Dravet Syndrome,cannabidiol,Low,Sparingly soluble,Non-toxic,Electrolytes
5016,Dravet Syndrome,stiripentol,Low,Lipid-soluble,Non-toxic,Electrolytes
5017,Excessive Salivation,glycopyrrolate,High,Lipid-soluble,Non-toxic,Electrolytes
5018,Edema,furosemide,Moderate,Lipid-soluble,Mildly toxic,Electrolytes
5019,Edema,hydrochlorothiazide,Low,Poorly soluble,Non-toxic,Electrolytes
5020,Edema,spironolactone,Low,Water-soluble,Highly toxic,Electrolytes
5021,Edema,bumetanide,Moderate,Lipid-soluble,Mildly toxic,Electrolytes
5022,Edema,metolazone,Moderate,Lipid-soluble,Non-toxic,Electrolytes
5023,Edema,torsemide,Moderate,Sparingly soluble,Mildly toxic,Electrolytes
5024,Edema,hydrochlorothiazide / triamterene,Moderate,Lipid-soluble,Highly toxic,Electrolytes
5025,Edema,hydrochlorothiazide / spironolactone,Moderate,Water-soluble,Mildly toxic,Electrolytes
5026,Edema,triamterene,Moderate,Water-soluble,Highly toxic,Electrolytes
5027,Edema,chlorthalidone,High,Lipid-soluble,Non-toxic,Electrolytes
5028,Edema,pamabrom,High,Sparingly soluble,Mildly toxic,Electrolytes
5029,Edema,acetazolamide,Moderate,Water-soluble,Mildly toxic,Electrolytes
5030,Drowsiness (Hypersomnia),caffeine,Moderate,Sparingly soluble,Highly toxic,Electrolytes
5031,Drowsiness (Hypersomnia),modafinil,High,Lipid-soluble,Non-toxic,Electrolytes
5032,Drowsiness (Hypersomnia),dextroamphetamine,Moderate,Lipid-soluble,Non-toxic,Electrolytes
5033,Drowsiness (Hypersomnia),armodafinil,Moderate,Water-soluble,Highly toxic,Electrolytes
5034,Drowsiness (Hypersomnia),caffeine,Moderate,Lipid-soluble,Mildly toxic,Electrolytes
5035,Drowsiness (Hypersomnia),modafinil,Low,Water-soluble,Mildly toxic,Electrolytes
5036,Drowsiness (Hypersomnia),dextroamphetamine,High,Water-soluble,Non-toxic,Electrolytes
5037,Drowsiness (Hypersomnia),armodafinil,Low,Lipid-soluble,Mildly toxic,Electrolytes
5038,Drug Induced Vitamin/Mineral Deficiency,pyridoxine,Low,Water-soluble,Highly toxic,Electrolytes
5039,High Blood Pressure (Hypertension),lisinopril,High,Water-soluble,Mildly toxic,Nitric Oxide
5040,High Blood Pressure (Hypertension),amlodipine,Low,Lipid-soluble,Non-toxic,Nitric Oxide
5041,High Blood Pressure (Hypertension),losartan,High,Lipid-soluble,Non-toxic,Nitric Oxide
5042,High Blood Pressure (Hypertension),hydrochlorothiazide,Moderate,Sparingly soluble,Mildly toxic,Nitric Oxide
5043,High Blood Pressure (Hypertension),metoprolol,Low,Poorly soluble,Highly toxic,Nitric Oxide
5044,High Blood Pressure (Hypertension),atenolol,High,Water-soluble,Mildly toxic,Nitric Oxide
5045,High Blood Pressure (Hypertension),carvedilol,Low,Lipid-soluble,Highly toxic,Nitric Oxide
5046,High Blood Pressure (Hypertension),furosemide,High,Water-soluble,Mildly toxic,Nitric Oxide
5047,High Blood Pressure (Hypertension),hydrochlorothiazide / lisinopril,Moderate,Poorly soluble,Highly toxic,Nitric Oxide
5048,High Blood Pressure (Hypertension),clonidine,High,Lipid-soluble,Highly toxic,Nitric Oxide
5049,High Blood Pressure (Hypertension),enalapril,Low,Lipid-soluble,Highly toxic,Nitric Oxide
5050,High Blood Pressure (Hypertension),valsartan,Moderate,Poorly soluble,Highly toxic,Nitric Oxide
5051,Autoimmune Hemolytic Anemia,prednisone,High,Water-soluble,Mildly toxic,Hemoglobin
5052,Dry Eye Disease (Keratoconjunctivitis Sicca),cyclosporine,Moderate,Poorly soluble,Non-toxic,Electrolytes
5053,Dry Eye Disease (Keratoconjunctivitis Sicca),lifitegrast,High,Sparingly soluble,Highly toxic,Electrolytes
5054,Dry Eye Disease (Keratoconjunctivitis Sicca),hydroxypropyl methylcellulose,Low,Poorly soluble,Mildly toxic,Electrolytes
5055,Dry Eye Disease (Keratoconjunctivitis Sicca),cyclosporine,Low,Water-soluble,Non-toxic,Electrolytes
5056,Dry Eye Disease (Keratoconjunctivitis Sicca),lifitegrast,Moderate,Sparingly soluble,Mildly toxic,Electrolytes
5057,Dry Eye Disease (Keratoconjunctivitis Sicca),hydroxypropyl methylcellulose,Low,Lipid-soluble,Non-toxic,Electrolytes
5058,Xerostomia,pilocarpine,Moderate,Sparingly soluble,Mildly toxic,Electrolytes
5059,Xerostomia,saliva substitutes,Moderate,Water-soluble,Non-toxic,Electrolytes
5060,Xerostomia,glycerin,Low,Lipid-soluble,Mildly toxic,Electrolytes
5061,Xerostomia,amifostine,Low,Sparingly soluble,Mildly toxic,Electrolytes
5062,Dry Skin (Xerosis),ammonium lactate,High,Lipid-soluble,Mildly toxic,Collagen Type I
5063,Dry Skin (Xerosis),urea,High,Lipid-soluble,Non-toxic,Collagen Type I
5064,Dry Skin (Xerosis),emollients,Low,Sparingly soluble,Mildly toxic,Collagen Type I
5065,Alcohol Withdrawal,gabapentin,High,Lipid-soluble,Mildly toxic,Electrolytes
5066,Alcohol Withdrawal,baclofen,Low,Sparingly soluble,Mildly toxic,Electrolytes
5067,Alcohol Withdrawal,chlordiazepoxide,High,Poorly soluble,Highly toxic,Electrolytes
5068,Alcohol Withdrawal,diazepam,Low,Poorly soluble,Highly toxic,Electrolytes
5069,Alcohol Withdrawal,clonidine,High,Sparingly soluble,Non-toxic,Electrolytes
5070,Alcohol Withdrawal,atenolol,Low,Water-soluble,Mildly toxic,Electrolytes
5071,Alcohol Withdrawal,oxazepam,Low,Sparingly soluble,Highly toxic,Electrolytes
5072,Alcohol Withdrawal,clorazepate,Low,Lipid-soluble,Non-toxic,Electrolytes
5073,Abnormal Uterine Bleeding,medroxyprogesterone,Moderate,Poorly soluble,Mildly toxic,Electrolytes
5074,Abnormal Uterine Bleeding,norethindrone,Moderate,Lipid-soluble,Mildly toxic,Electrolytes
5075,Abnormal Uterine Bleeding,megestrol,Moderate,Poorly soluble,Non-toxic,Electrolytes
5076,Abnormal Uterine Bleeding,levonorgestrel,Low,Water-soluble,Non-toxic,Electrolytes
5077,Abnormal Uterine Bleeding,ethinyl estradiol / levonorgestrel,Low,Water-soluble,Non-toxic,Electrolytes
5078,Abnormal Uterine Bleeding,ethinyl estradiol / norgestimate,High,Lipid-soluble,Highly toxic,Electrolytes
5079,Abnormal Uterine Bleeding,ethinyl estradiol / norethindrone,Moderate,Lipid-soluble,Mildly toxic,Electrolytes
5080,Abnormal Uterine Bleeding,desogestrel / ethinyl estradiol,High,Lipid-soluble,Mildly toxic,Electrolytes
5081,Hyperbilirubinemia,phenobarbital,High,Lipid-soluble,Highly toxic,Electrolytes
5082,Duchenne Muscular Dystrophy,deflazacort,High,Water-soluble,Mildly toxic,Electrolytes
5083,Duchenne Muscular Dystrophy,eteplirsen,Moderate,Lipid-soluble,Mildly toxic,Electrolytes
5084,Duchenne Muscular Dystrophy,golodirsen,High,Poorly soluble,Non-toxic,Electrolytes
5085,Breast Cancer,tamoxifen,Moderate,Sparingly soluble,Non-toxic,Electrolytes
5086,Breast Cancer,anastrozole,High,Poorly soluble,Mildly toxic,Electrolytes
5087,Breast Cancer,letrozole,Moderate,Sparingly soluble,Mildly toxic,Electrolytes
5088,Breast Cancer,exemestane,Moderate,Water-soluble,Non-toxic,Electrolytes
5089,Breast Cancer,cyclophosphamide,Moderate,Sparingly soluble,Non-toxic,Electrolytes
5090,Breast Cancer,methotrexate,High,Lipid-soluble,Mildly toxic,Electrolytes
5091,Breast Cancer,doxorubicin,High,Sparingly soluble,Mildly toxic,Electrolytes
5092,Breast Cancer,paclitaxel,Moderate,Sparingly soluble,Mildly toxic,Electrolytes
5093,Breast Cancer,trastuzumab,High,Lipid-soluble,Non-toxic,Electrolytes
5094,Breast Cancer,capecitabine,High,Lipid-soluble,Non-toxic,Electrolytes
5095,Breast Cancer,everolimus,Moderate,Sparingly soluble,Non-toxic,Electrolytes
5096,Dermatitis Herpetiformis,dapsone,High,Poorly soluble,Non-toxic,Collagen Type I
5097,Dermatitis Herpetiformis,prednisone,High,Poorly soluble,Highly toxic,Collagen Type I
5098,Dermatitis Herpetiformis,dexamethasone,Low,Lipid-soluble,Mildly toxic,Collagen Type I
5099,Dumping Syndrome,pantoprazole,Low,Sparingly soluble,Non-toxic,Electrolytes
5100,Dumping Syndrome,cholestyramine,High,Lipid-soluble,Mildly toxic,Electrolytes
5101,Dumping Syndrome,acarbose,High,Poorly soluble,Mildly toxic,Electrolytes
5102,Dumping Syndrome,methscopolamine,Moderate,Poorly soluble,Mildly toxic,Electrolytes
5103,Dumping Syndrome,octreotide,High,Lipid-soluble,Mildly toxic,Electrolytes
5104,Duodenal Ulcer,omeprazole,Moderate,Poorly soluble,Non-toxic,Gastric Mucus
5105,Duodenal Ulcer,ranitidine,Moderate,Lipid-soluble,Highly toxic,Gastric Mucus
5106,Duodenal Ulcer,sucralfate,Moderate,Lipid-soluble,Mildly toxic,Gastric Mucus
5107,Duodenal Ulcer,pantoprazole,Moderate,Sparingly soluble,Mildly toxic,Gastric Mucus
5108,Duodenal Ulcer,rabeprazole,Low,Lipid-soluble,Mildly toxic,Gastric Mucus
5109,Duodenal Ulcer,famotidine,High,Sparingly soluble,Highly toxic,Gastric Mucus
5110,Duodenal Ulcer,lansoprazole,High,Lipid-soluble,Highly toxic,Gastric Mucus
5111,Duodenal Ulcer,atropine / hyoscyamine / phenobarbital / scopolamine,High,Sparingly soluble,Non-toxic,Gastric Mucus
5112,Duodenal Ulcer,calcium carbonate,Moderate,Lipid-soluble,Highly toxic,Gastric Mucus
5113,Duodenal Ulcer Prophylaxis,ranitidine,Low,Poorly soluble,Highly toxic,Gastric Mucus
5114,Duodenal Ulcer Prophylaxis,sucralfate,High,Lipid-soluble,Non-toxic,Gastric Mucus
5115,Duodenal Ulcer Prophylaxis,esomeprazole,High,Poorly soluble,Highly toxic,Gastric Mucus
5116,Duodenal Ulcer Prophylaxis,famotidine,Moderate,Lipid-soluble,Highly toxic,Gastric Mucus
5117,Duodenal Ulcer Prophylaxis,lansoprazole,Moderate,Sparingly soluble,Non-toxic,Gastric Mucus
5118,Duodenal Ulcer Prophylaxis,rabeprazole,Low,Poorly soluble,Mildly toxic,Gastric Mucus
5119,Duodenal Ulcer Prophylaxis,cimetidine,High,Lipid-soluble,Mildly toxic,Gastric Mucus
5120,Gastritis/Duodenitis,omeprazole,Low,Water-soluble,Non-toxic,Digestive Enzymes
5121,Gastritis/Duodenitis,pantoprazole,Low,Sparingly soluble,Non-toxic,Digestive Enzymes
5122,Gastritis/Duodenitis,lansoprazole,Low,Sparingly soluble,Non-toxic,Digestive Enzymes
5123,Gastritis/Duodenitis,esomeprazole,Low,Poorly soluble,Mildly toxic,Digestive Enzymes
5124,Dupuytren's contracture,collagenase clostridium histolyticum,Moderate,Sparingly soluble,Highly toxic,Electrolytes
5125,Dupuytren's contracture,collagenase clostridium histolyticum,High,Sparingly soluble,Mildly toxic,Electrolytes
5126,Allergies,hydroxyzine,Low,Poorly soluble,Mildly toxic,Electrolytes
5127,Allergies,levocetirizine,Moderate,Water-soluble,Non-toxic,Electrolytes
5128,Allergies,loratadine,High,Poorly soluble,Highly toxic,Electrolytes
5129,Allergies,doxylamine,High,Sparingly soluble,Mildly toxic,Electrolytes
5130,Allergies,corticotropin,High,Poorly soluble,Highly toxic,Electrolytes
5131,Allergies,triprolidine,High,Lipid-soluble,Highly toxic,Electrolytes
5132,Allergies,dexbrompheniramine,High,Sparingly soluble,Non-toxic,Electrolytes
5133,Allergies,chlorpheniramine / ibuprofen / phenylephrine,Moderate,Lipid-soluble,Highly toxic,Electrolytes
5134,Allergies,dexbrompheniramine / phenylephrine,Moderate,Lipid-soluble,Non-toxic,Electrolytes
5135,Deep Vein Thrombosis,enoxaparin,High,Sparingly soluble,Mildly toxic,Electrolytes
5136,Deep Vein Thrombosis,rivaroxaban,Low,Lipid-soluble,Mildly toxic,Electrolytes
5137,Deep Vein Thrombosis,heparin,High,Poorly soluble,Mildly toxic,Electrolytes
5138,Deep Vein Thrombosis,apixaban,Moderate,Lipid-soluble,Mildly toxic,Electrolytes
5139,Deep Vein Thrombosis,dabigatran,Moderate,Poorly soluble,Highly toxic,Electrolytes
5140,Deep Vein Thrombosis,fondaparinux,High,Poorly soluble,Mildly toxic,Electrolytes
5141,Deep Vein Thrombosis,edoxaban,Low,Poorly soluble,Non-toxic,Electrolytes
5142,Deep Vein Thrombosis,urokinase,Low,Lipid-soluble,Mildly toxic,Electrolytes
5143,Dwarf Tapeworm Infection (Hymenolepis nana),nitazoxanide,High,Poorly soluble,Non-toxic,Antibodies
5144,Dwarf Tapeworm Infection (Hymenolepis nana),praziquantel,High,Poorly soluble,Mildly toxic,Antibodies
5145,Dwarf Tapeworm Infection (Hymenolepis nana),paromomycin,High,Poorly soluble,Non-toxic,Antibodies
5146,Dysautonomia,midodrine,High,Sparingly soluble,Highly toxic,Electrolytes
5147,Dysautonomia,fludrocortisone,Moderate,Lipid-soluble,Non-toxic,Electrolytes
5148,Dysautonomia,pyridostigmine,Low,Sparingly soluble,Highly toxic,Electrolytes
5149,Dysautonomia,lorazepam,High,Lipid-soluble,Mildly toxic,Electrolytes
5150,Dysautonomia,alprazolam,Low,Poorly soluble,Non-toxic,Electrolytes
5151,Dysautonomia,amitriptyline,Low,Water-soluble,Non-toxic,Electrolytes
5152,Dysautonomia,sertraline,Low,Sparingly soluble,Non-toxic,Electrolytes
5153,Dysautonomia,naproxen,Low,Sparingly soluble,Highly toxic,Electrolytes
5154,Dysautonomia,ibuprofen,High,Water-soluble,Non-toxic,Electrolytes
5155,Dysautonomia,fluoxetine,Moderate,Sparingly soluble,Non-toxic,Electrolytes
5156,Dysautonomia,nortriptyline,High,Water-soluble,Mildly toxic,Electrolytes
5157,Dysautonomia,paroxetine,Moderate,Poorly soluble,Highly toxic,Electrolytes
5158,Infectious Diarrhea,ciprofloxacin,Low,Water-soluble,Mildly toxic,Electrolytes
5159,Abnormal Uterine Bleeding,medroxyprogesterone,High,Poorly soluble,Non-toxic,Electrolytes
5160,Abnormal Uterine Bleeding,norethindrone,High,Poorly soluble,Highly toxic,Electrolytes
5161,Abnormal Uterine Bleeding,megestrol,Low,Poorly soluble,Non-toxic,Electrolytes
5162,Abnormal Uterine Bleeding,levonorgestrel,High,Sparingly soluble,Highly toxic,Electrolytes
5163,Abnormal Uterine Bleeding,ethinyl estradiol / levonorgestrel,Low,Lipid-soluble,Highly toxic,Electrolytes
5164,Abnormal Uterine Bleeding,ethinyl estradiol / norgestimate,Low,Lipid-soluble,Mildly toxic,Electrolytes
5165,Abnormal Uterine Bleeding,ethinyl estradiol / norethindrone,High,Water-soluble,Non-toxic,Electrolytes
5166,Abnormal Uterine Bleeding,desogestrel / ethinyl estradiol,Low,Lipid-soluble,Mildly toxic,Electrolytes
5167,Dyslipidemia,pitavastatin,Low,Sparingly soluble,Highly toxic,Electrolytes
5168,Dyslipidemia,fluvastatin,Moderate,Lipid-soluble,Non-toxic,Electrolytes
5169,Period Pain (Dysmenorrhea),ibuprofen,High,Water-soluble,Highly toxic,Electrolytes
5170,Period Pain (Dysmenorrhea),naproxen,Moderate,Sparingly soluble,Non-toxic,Electrolytes
5171,Period Pain (Dysmenorrhea),mefenamic acid,Moderate,Poorly soluble,Non-toxic,Electrolytes
5172,Period Pain (Dysmenorrhea),diclofenac,High,Sparingly soluble,Highly toxic,Electrolytes
5173,Period Pain (Dysmenorrhea),ketoprofen,Moderate,Lipid-soluble,Mildly toxic,Electrolytes
5174,Period Pain (Dysmenorrhea),celecoxib,Moderate,Lipid-soluble,Non-toxic,Electrolytes
5175,Dyspareunia,ospemifene,Moderate,Lipid-soluble,Non-toxic,Electrolytes
5176,Dyspareunia,dehydroepiandrosterone,Moderate,Poorly soluble,Non-toxic,Electrolytes
5177,Dyspareunia,estradiol,Moderate,Lipid-soluble,Highly toxic,Electrolytes
5178,Indigestion,omeprazole,Low,Lipid-soluble,Highly toxic,Electrolytes
5179,Indigestion,ranitidine,Moderate,Sparingly soluble,Highly toxic,Electrolytes
5180,Indigestion,famotidine,High,Water-soluble,Mildly toxic,Electrolytes
5181,Indigestion,bismuth subsalicylate,Low,Poorly soluble,Non-toxic,Electrolytes
5182,Indigestion,aluminum hydroxide / magnesium hydroxide / simethicone,Low,Sparingly soluble,Highly toxic,Electrolytes
5183,Indigestion,calcium carbonate,Moderate,Sparingly soluble,Non-toxic,Electrolytes
5184,Indigestion,magnesium hydroxide,High,Water-soluble,Highly toxic,Electrolytes
5185,Cardiac Arrhythmia,isoproterenol,High,Lipid-soluble,Non-toxic,Electrolytes
5186,Insomnia,trazodone,Moderate,Poorly soluble,Mildly toxic,Electrolytes
5187,Insomnia,zolpidem,High,Poorly soluble,Non-toxic,Electrolytes
5188,Insomnia,temazepam,Low,Poorly soluble,Mildly toxic,Electrolytes
5189,Insomnia,amitriptyline,High,Poorly soluble,Mildly toxic,Electrolytes
5190,Insomnia,lorazepam,Moderate,Water-soluble,Mildly toxic,Electrolytes
5191,Insomnia,clonazepam,Low,Water-soluble,Non-toxic,Electrolytes
5192,Insomnia,mirtazapine,Moderate,Water-soluble,Non-toxic,Electrolytes
5193,Insomnia,doxepin,Low,Lipid-soluble,Mildly toxic,Electrolytes
5194,Insomnia,quetiapine,Low,Poorly soluble,Highly toxic,Electrolytes
5195,Insomnia,eszopiclone,High,Water-soluble,Mildly toxic,Electrolytes
5196,Insomnia,diphenhydramine,Low,Poorly soluble,Highly toxic,Electrolytes
5197,Insomnia,gabapentin,Low,Poorly soluble,Non-toxic,Electrolytes
5198,Insomnia,flurazepam,Low,Lipid-soluble,Mildly toxic,Electrolytes
5199,Persistent Depressive Disorder,bupropion,Low,Poorly soluble,Mildly toxic,Electrolytes
5200,Persistent Depressive Disorder,sertraline,High,Water-soluble,Non-toxic,Electrolytes
5201,Persistent Depressive Disorder,duloxetine,High,Lipid-soluble,Highly toxic,Electrolytes
5202,Persistent Depressive Disorder,citalopram,Moderate,Poorly soluble,Non-toxic,Electrolytes
5203,Persistent Depressive Disorder,amitriptyline,High,Poorly soluble,Mildly toxic,Electrolytes
5204,Persistent Depressive Disorder,fluoxetine,Moderate,Poorly soluble,Highly toxic,Electrolytes
5205,Persistent Depressive Disorder,paroxetine,High,Water-soluble,Mildly toxic,Electrolytes
5206,Persistent Depressive Disorder,fluvoxamine,High,Water-soluble,Mildly toxic,Electrolytes
5207,Persistent Depressive Disorder,bupropion,Low,Water-soluble,Highly toxic,Electrolytes
5208,Persistent Depressive Disorder,sertraline,Moderate,Sparingly soluble,Mildly toxic,Electrolytes
5209,Persistent Depressive Disorder,duloxetine,Low,Poorly soluble,Highly toxic,Electrolytes
5210,Persistent Depressive Disorder,citalopram,Low,Poorly soluble,Mildly toxic,Electrolytes
5211,Persistent Depressive Disorder,amitriptyline,Moderate,Poorly soluble,Mildly toxic,Electrolytes
5212,Persistent Depressive Disorder,fluoxetine,Moderate,Sparingly soluble,Highly toxic,Electrolytes
5213,Persistent Depressive Disorder,paroxetine,Low,Poorly soluble,Non-toxic,Electrolytes
5214,Persistent Depressive Disorder,fluvoxamine,High,Water-soluble,Mildly toxic,Electrolytes
5215,Dystonia,baclofen,Low,Poorly soluble,Non-toxic,Electrolytes
5216,Dystonia,carbamazepine,Low,Water-soluble,Mildly toxic,Electrolytes
5217,Dystonia,onabotulinumtoxinA,High,Sparingly soluble,Non-toxic,Electrolytes
5218,Dysuria,phenazopyridine,Moderate,Sparingly soluble,Mildly toxic,Electrolytes
5219,Dysuria,oxybutynin,Moderate,Water-soluble,Mildly toxic,Electrolytes
5220,Dysuria,flavoxate,Low,Water-soluble,Mildly toxic,Electrolytes
5221,Traveler's Diarrhea,ciprofloxacin,Moderate,Sparingly soluble,Mildly toxic,Electrolytes
5222,Traveler's Diarrhea,loperamide,Low,Sparingly soluble,Non-toxic,Electrolytes
5223,Traveler's Diarrhea,rifaximin,Moderate,Poorly soluble,Highly toxic,Electrolytes
5224,Traveler's Diarrhea,sulfamethoxazole / trimethoprim,Low,Water-soluble,Highly toxic,Electrolytes
5225,Traveler's Diarrhea,bismuth subsalicylate,Moderate,Lipid-soluble,Highly toxic,Electrolytes
5226,Traveler's Diarrhea,ofloxacin,High,Poorly soluble,Highly toxic,Electrolytes
5227,Traveler's Diarrhea,ciprofloxacin,Moderate,Water-soluble,Highly toxic,Electrolytes
5228,Traveler's Diarrhea,loperamide,Low,Poorly soluble,Non-toxic,Electrolytes
5229,Traveler's Diarrhea,rifaximin,High,Lipid-soluble,Highly toxic,Electrolytes
5230,Traveler's Diarrhea,sulfamethoxazole / trimethoprim,Moderate,Water-soluble,Highly toxic,Electrolytes
5231,Traveler's Diarrhea,bismuth subsalicylate,Low,Poorly soluble,Mildly toxic,Electrolytes
5232,Traveler's Diarrhea,ofloxacin,High,Sparingly soluble,Mildly toxic,Electrolytes
5233,Otitis Media,amoxicillin,Moderate,Sparingly soluble,Mildly toxic,Electrolytes
5234,Otitis Media,cefdinir,Low,Water-soluble,Non-toxic,Electrolytes
5235,Otitis Media,amoxicillin / clavulanate,High,Poorly soluble,Highly toxic,Electrolytes
5236,Otitis Media,azithromycin,Moderate,Lipid-soluble,Non-toxic,Electrolytes
5237,Otitis Media,cephalexin,Low,Sparingly soluble,Mildly toxic,Electrolytes
5238,Otitis Media,ofloxacin,Low,Poorly soluble,Highly toxic,Electrolytes
5239,Otitis Media,clarithromycin,Low,Sparingly soluble,Non-toxic,Electrolytes
5240,Otitis Media,sulfamethoxazole / trimethoprim,High,Water-soluble,Highly toxic,Electrolytes
5241,Otitis Media,cefuroxime,High,Water-soluble,Highly toxic,Electrolytes
